image,true_class,simple_rosa_canina,simple_rosa_damascena,simple_rosa_multiflora,simple_predicted,descriptive_rosa_canina,descriptive_rosa_damascena,descriptive_rosa_multiflora,descriptive_predicted,scientific_rosa_canina,scientific_rosa_damascena,scientific_rosa_multiflora,scientific_predicted,contextual_rosa_canina,contextual_rosa_damascena,contextual_rosa_multiflora,contextual_predicted,ensemble_rosa_canina,ensemble_rosa_damascena,ensemble_rosa_multiflora,ensemble_predicted
large (2).jpg,rosa_damascena,0.2051,0.3565,0.4384,rosa_multiflora,0.7497,0.2401,0.0102,rosa_canina,0.2775,0.7026,0.0199,rosa_damascena,0.3559,0.3854,0.2588,rosa_damascena,0.6767,0.2538,0.0695,rosa_canina
large (3).jpg,rosa_damascena,0.1262,0.503,0.3707,rosa_damascena,0.6456,0.3479,0.0064,rosa_canina,0.2731,0.712,0.0149,rosa_damascena,0.0533,0.6022,0.3445,rosa_damascena,0.4562,0.4649,0.0789,rosa_damascena
large (4).jpg,rosa_damascena,0.2245,0.2123,0.5632,rosa_multiflora,0.8913,0.0944,0.0143,rosa_canina,0.8306,0.1466,0.0228,rosa_canina,0.199,0.2936,0.5074,rosa_multiflora,0.7982,0.1038,0.098,rosa_canina
large (5).jpg,rosa_damascena,0.0796,0.2778,0.6426,rosa_multiflora,0.833,0.1221,0.0448,rosa_canina,0.6956,0.1037,0.2007,rosa_canina,0.1187,0.0185,0.8628,rosa_multiflora,0.5886,0.0627,0.3487,rosa_canina
large.jpeg,rosa_damascena,0.1465,0.4162,0.4372,rosa_multiflora,0.5252,0.3973,0.0775,rosa_canina,0.436,0.5368,0.0272,rosa_damascena,0.1712,0.5014,0.3274,rosa_damascena,0.5395,0.315,0.1455,rosa_canina
large.jpg,rosa_damascena,0.0591,0.8629,0.078,rosa_damascena,0.0443,0.9548,0.0008,rosa_damascena,0.4111,0.5844,0.0045,rosa_damascena,0.0051,0.8027,0.1922,rosa_damascena,0.1073,0.8725,0.0202,rosa_damascena
large (1).jpg,rosa_multiflora,0.3357,0.025,0.6393,rosa_multiflora,0.1185,0.0001,0.8815,rosa_multiflora,0.0844,0.1338,0.7818,rosa_multiflora,0.0639,0.006,0.9301,rosa_multiflora,0.1718,0.0027,0.8256,rosa_multiflora
large (2).jpg,rosa_multiflora,0.4174,0.0222,0.5604,rosa_multiflora,0.0091,0.0,0.9909,rosa_multiflora,0.1113,0.0313,0.8573,rosa_multiflora,0.3324,0.0033,0.6643,rosa_multiflora,0.1667,0.0013,0.832,rosa_multiflora
large (3).jpg,rosa_multiflora,0.3323,0.0153,0.6523,rosa_multiflora,0.0363,0.0001,0.9636,rosa_multiflora,0.0945,0.0325,0.873,rosa_multiflora,0.1684,0.0033,0.8283,rosa_multiflora,0.1635,0.0014,0.8351,rosa_multiflora
large (4).jpg,rosa_multiflora,0.3931,0.0263,0.5806,rosa_multiflora,0.1294,0.0001,0.8705,rosa_multiflora,0.1751,0.1691,0.6558,rosa_multiflora,0.8649,0.0035,0.1316,rosa_canina,0.5087,0.0028,0.4885,rosa_canina
large (5).jpg,rosa_multiflora,0.3328,0.0168,0.6504,rosa_multiflora,0.0355,0.0001,0.9644,rosa_multiflora,0.0481,0.0141,0.9378,rosa_multiflora,0.7219,0.0007,0.2774,rosa_canina,0.2458,0.0008,0.7534,rosa_multiflora
large (6).jpg,rosa_multiflora,0.4864,0.0259,0.4877,rosa_multiflora,0.09,0.0001,0.9099,rosa_multiflora,0.2276,0.0535,0.7189,rosa_multiflora,0.5856,0.0029,0.4115,rosa_canina,0.4194,0.0015,0.5791,rosa_multiflora
large (7).jpg,rosa_multiflora,0.3543,0.0208,0.6248,rosa_multiflora,0.6313,0.0003,0.3684,rosa_canina,0.4847,0.0752,0.44,rosa_canina,0.7966,0.0013,0.202,rosa_canina,0.7121,0.0016,0.2863,rosa_canina
large (8).jpg,rosa_multiflora,0.3471,0.0092,0.6437,rosa_multiflora,0.0008,0.0,0.9991,rosa_multiflora,0.095,0.0066,0.8984,rosa_multiflora,0.0412,0.0058,0.953,rosa_multiflora,0.0437,0.0006,0.9557,rosa_multiflora
large (9).jpg,rosa_multiflora,0.1791,0.0253,0.7956,rosa_multiflora,0.0215,0.0,0.9785,rosa_multiflora,0.1994,0.0221,0.7785,rosa_multiflora,0.398,0.0018,0.6002,rosa_multiflora,0.1932,0.001,0.8058,rosa_multiflora
large.jpg,rosa_multiflora,0.2535,0.0303,0.7163,rosa_multiflora,0.0064,0.0,0.9936,rosa_multiflora,0.1397,0.0805,0.7798,rosa_multiflora,0.2031,0.0021,0.7947,rosa_multiflora,0.1172,0.0017,0.8812,rosa_multiflora
